year,classification_code,reporters_with_exports,reporter_year_class_product_rows,hs6_products,trade_value
1988,H0,10,33178,5022,457950101829.0
1989,H0,25,77878,5033,849811111830.0
1990,H0,30,89144,5035,964479726160.0
1991,H0,39,112327,5035,1869438734616.0
1992,H0,53,149452,5036,2374826502111.0
1993,H0,68,178152,5036,2718912702757.0
1994,H0,93,235084,5036,3636838351757.0
1995,H0,105,248186,5036,4343603232603.0
1996,H0,65,96931,5032,589429318593.0
1996,H1,53,175394,5130,4061564758115.0
1997,H0,40,43571,4899,162798295454.0
1997,H1,82,231670,5130,4573195440987.0
1998,H0,28,37111,4899,183462987212.0
1998,H1,100,262998,5130,4616804528450.0
1999,H0,20,23678,4662,77947608513.0
1999,H1,117,296726,5130,5053499283483.0
2000,H0,17,14031,4300,50490676132.905014
2000,H1,134,329061,5120,5766753849518.16
2001,H0,15,9817,3523,37398656574.653015
2001,H1,140,336968,5121,5594650286219.209
2002,H0,10,4908,2830,19819688954.947
2002,H1,63,86137,5107,340394677964.8779
2002,H2,84,269414,5222,5563699399996.744
2003,H0,11,5876,2954,40062648862.47299
2003,H1,43,56933,5036,265686851973.752
2003,H2,106,310174,5222,6615542793407.984
2004,H0,9,5921,3126,37296147934.991
2004,H1,31,37110,4990,257602297002.20496
2004,H2,121,336997,5221,8056573512670.57
2005,H0,7,3543,2570,10498856259.580002
2005,H1,22,29687,4953,235565384046.995
2005,H2,136,355207,5222,9217712398642.799
2006,H0,5,3323,2497,13366130667.321985
2006,H1,14,22467,4914,192965966999.45697
2006,H2,142,371643,5222,10822940329742.781
2007,H0,5,3654,2618,14742139068.990013
2007,H1,14,18560,4844,171341990204.197
2007,H2,68,116371,5206,1325806172713.3003
2007,H3,78,253927,5050,11184439084549.494
2008,H0,1,772,772,307727006.0
2008,H1,11,12184,4604,144566261239.983
2008,H2,42,55615,5179,1047416431092.9485
2008,H3,110,325162,5050,13486939831720.227
2009,H0,1,16,16,1202554.0
2009,H1,8,9189,4424,118550102113.37401
2009,H2,24,27978,4860,250229256182.47906
2009,H3,133,357963,5050,10787172246939.273
2010,H0,1,11,11,1647561.0
2010,H1,6,6980,3335,5400043343.48002
2010,H2,20,22280,4802,369246304174.805
2010,H3,142,370915,5050,13228547030584.326
2011,H0,1,12,12,881793.0
2011,H1,2,2522,1784,164483869.0
2011,H2,18,20139,4493,193165260141.631
2011,H3,147,377544,5050,16272125589837.344
2012,H1,1,1065,1065,29004997.0
2012,H2,17,16296,4374,190434860987.978
2012,H3,51,72750,5017,986310289433.8636
2012,H4,101,318924,5203,15510361282192.275
2013,H1,1,1303,1303,358388116.9049994
2013,H2,12,13209,4306,185970558375.207
2013,H3,40,45471,4785,330704221901.80994
2013,H4,118,357399,5203,16797603168904.293
2014,H1,1,1299,1299,816287355.9169995
2014,H2,5,7937,3995,86335805296.682
2014,H3,27,25974,4219,168233790162.2879
2014,H4,135,377665,5203,16925520986667.78
2015,H2,3,4709,3241,59604780339.0
2015,H3,16,11324,3421,30021156379.162006
2015,H4,150,404347,5203,14797313222433.35
2016,H2,3,4754,3249,57308870215.0
2016,H3,13,8104,2749,16735506154.346983
2016,H4,155,408730,5203,14389463048141.521
2017,H2,3,2326,1965,1169636003.29
2017,H3,10,6768,2499,12735617794.915981
2017,H4,56,91562,5164,1657536454969.6746
2017,H5,103,333272,5385,14241476450483.793
2018,H2,2,1788,1752,477672753.36
2018,H3,8,5225,2318,11885968544.541002
2018,H4,33,46376,5000,970212158831.3169
2018,H5,126,375461,5385,16657129351908.777
2019,H2,1,92,92,141422984.54999998
2019,H3,7,3793,1924,9417209945.472017
2019,H4,21,30696,4873,901328385395.5221
2019,H5,137,396595,5385,16359159541020.852
2020,H3,5,2021,1235,1980420163.7119997
2020,H4,13,19816,4623,630271077562.4963
2020,H5,145,395611,5385,15467319555482.041
2021,H3,5,3102,1664,2376873894.528001
2021,H4,9,12658,4212,103841257286.02997
2021,H5,149,411151,5385,20124478893706.723
2022,H3,5,3988,2184,4440997509.143005
2022,H4,5,6551,3178,15300679014.735012
2022,H5,37,61017,5083,466631371261.3942
2022,H6,113,361910,5610,21634442321422.805
2023,H3,2,1212,1033,1571038049.4749997
2023,H4,6,7285,3394,11161106679.708004
2023,H5,20,25256,4590,212147882150.67737
2023,H6,130,399904,5610,21100127023323.83
2024,H3,2,1922,1478,1507738489.5880013
2024,H4,3,4754,3074,59755315079.85393
2024,H5,8,7620,3574,28859144352.024036
2024,H6,121,383737,5610,20472367321248.047
